Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/29  02:00:00,25.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8679173099159,25.5613218608004,26.4365019108663,25.8603287351984,26.2261159940701,25.6899595445964
 06/29  03:00:00,24.5916666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6977986593904,25.4228020135061,26.2354785867761,25.6622883966728,25.9656570521723,25.5381152217577
 06/29  04:00:00,23.8333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5160760759972,25.2798925397396,26.0167670596377,25.4428306196159,25.6919663750191,25.3786761230508
 06/29  05:00:00,23.0916666666666,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3209045015411,25.1321551688733,25.7848187617109,25.2104729466584,25.4102322679746,25.211884782624
 06/29  06:00:00,23.5583333333333,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2411923768413,25.0307919887186,25.7114149677457,25.1330041254691,25.3430366443096,25.1175527535277
 06/29  07:00:00,24.8583333333333,468.666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3962395138692,25.0863359358672,25.9460489357694,25.3514333302521,25.6188893327641,25.2122612275026
 06/29  08:00:00,26.1583333333333,653.333333333333,1,0,0,0,0,0,0,0,3831.04877398641,3831.04877398641,0,1352.32529203424,1352.32529203424,449.705579456392,676.881638774626,1126.58721823101,0,525.216022088349,525.216022088349,6835.17730634001,25.6373055798073,25.3165049466067,25.9810056657778,25.7675502526303,26.1241432764604,25.4436320646821
 06/29  09:00:00,27.5749999999999,753.666666666666,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,839.167929344596,446.103735682407,1285.271665027,469.466631703242,147.340444020114,616.807075723357,1289.30322356401,59.0712799999206,1348.37450356393,554.530657686693,44.096892873077,598.627550559769,3849.08079487406,25.9345606262797,25.7970007231491,25.9847746171374,25.9678250910391,27.1495046547599,25.8435992441907
 06/29  10:00:00,29.0166666666666,812.5,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,7559.04972962381,2810.08717134309,10369.1369009669,2205.34949812738,519.466028034991,2724.81552616237,2939.3706733465,198.499872363722,3137.87054571022,1683.38264229147,198.498570473959,1881.88121276542,18113.7041856049,26.0034038598045,25.9868268249455,25.9761993659816,25.9780201244355,28.331729568287,25.9883021357989
 06/29  11:00:00,30.4749999999999,845.083333333333,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,10980.6981438773,2901.01984399045,13881.7179878677,3006.80992917373,499.244038725426,3506.05396789915,3962.47666728487,189.650085860227,4152.1267531451,2649.12386986638,189.650358977144,2838.77422884352,24378.6729377555,26.0111819583013,26.0138354171956,26.0077268193389,26.0057536756581,29.566284079631,26.0124558998833
