Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  24:00:00,19.1666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0589608593285,25.1104849914966,25.5594257878358,24.9341957972026,25.0316999234949,25.1199260926603
 06/02  01:00:00,18.825,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9157533406418,24.946055736562,25.4019567185157,24.71027545352,24.7407194217191,24.9555581303963
 06/02  02:00:00,18.4666666666666,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7779830996011,24.7939460855733,25.2366730138748,24.5044941334407,24.4853052853623,24.8014180329085
 06/02  03:00:00,17.425,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6127798749741,24.634282782486,25.0242191629892,24.2766372951723,24.2136658512746,24.6328370962016
 06/02  04:00:00,15.9833333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4106520977042,24.4641114761289,24.7624812182574,24.0095485612891,23.9065299664662,24.4448896746202
 06/02  05:00:00,14.525,31.8333333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2011834649054,24.2903728104072,24.4863905176611,23.7335039697594,23.5925841036406,24.2516778338537
 06/02  06:00:00,15.1833333333333,401.333333333333,2,0,0,0,0,0,0,0,2296.01926072392,2296.01926072392,0,1155.97830669466,1155.97830669466,0,485.494284867176,485.494284867176,0,539.597336770501,539.597336770501,4477.08918905626,24.2603212249978,24.1959606410467,24.4838457396497,23.7072576380188,23.5894501115577,24.1934036905441
 06/02  07:00:00,17.4416666666666,699.583333333333,2,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,1586.86710888054,239.150104201814,1826.01721308235,384.709450039853,4.06506983232284,388.774519872176,162.34638679675,0,162.34638679675,116.393577031314,0,116.393577031314,2493.53169678259,24.587172597428,24.4146579536023,25.0966989569107,24.0496310808245,23.9752760632085,24.4643273830004
 06/02  08:00:00,19.6833333333333,836.416666666666,2,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,3090.64460666813,3947.79037724075,7038.43498390889,754.282721120431,896.605692181572,1650.888413302,642.405589821326,748.037743890137,1390.44333371146,228.20834184341,425.611949244158,653.820291087568,10733.5870220099,25.0471571932284,24.9182575339955,25.8150050852176,24.664467150524,22.6850217419715,24.9822065601491
 06/02  09:00:00,22,905.333333333333,2,30.6709187792669,129.217091877926,12.1758436944937,12.1758436944937,0.968835782334894,185.208533828515,8707.26524566346,3460.39777382713,12167.6630194905,1777.67640457025,760.191368073789,2537.86777264403,2558.78265313745,651.23434132041,3210.01699445786,668.084821504694,241.698607344181,909.783428848874,18825.3312154413,25.7864018033139,25.7656532637905,25.9689665885494,25.6767089739179,23.8596493741977,25.7766655695297
