Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/20  24:00:00,21.9083333333333,0,6,14.0070863409947,0.376395,14.3834813409947,435.424329101988,851.113697675688,1286.53802677767,3503.60202930742,2799.76258688189,6303.36461618931,7589.90264296698,25.64448267871,24.9583450371283,19.0108787280729,25.457357633219
 06/21  01:00:00,21.3499999999999,0,7,0,0,0,0,0,0,0,0,0,0,25.2256406710439,26.9893145192371,17.8256641071606,25.7066338844662
 06/21  02:00:00,20.8083333333333,0,7,0,0,0,0,0,0,0,0,0,0,24.9511242662553,27.5899384910134,16.5250708652578,25.6707877884486
 06/21  03:00:00,19.8416666666666,0,7,0,0,0,0,0,0,0,0,0,0,24.684401747865,27.3974091826598,15.3043701413462,25.4242994139995
 06/21  04:00:00,18.5416666666666,0,7,0,0,0,0,0,0,0,0,0,0,24.6284598282706,27.7124633197204,14.5236257373763,25.4695363975455
 06/21  05:00:00,17.2416666666666,31.0833333333333,7,0,0,0,0,1289.28543406548,1289.28543406548,11876.3881300544,10588.2718539811,22464.6599840355,23753.945418101,24.9104937286946,20.0035701943754,13.9433335989311,23.5722661866761
 06/21  06:00:00,18.5083333333333,391.416666666666,7,14.0070863409947,0.376395,14.3834813409947,918.38960001105,770.53083282553,1688.92043283657,7097.62896542366,3650.72111777051,10748.3500831941,12437.2705160307,24.9953269072758,21.4543482338546,14.7930224967162,24.029623008829
 06/21  07:00:00,21.6666666666666,684.333333333333,7,140.070863409947,3.76395,143.834813409947,5754.25309720537,4913.85349122615,10668.1065884315,4983.27827236471,5121.83287994498,10105.1111523097,20773.2177407412,25.6185786645569,23.9819063342576,19.9592958731925,25.172221599005
 06/21  08:00:00,24.8083333333333,818.916666666666,7,140.070863409947,3.76395,143.834813409947,3500.54033853839,5879.35598189011,9379.8963204285,2228.13774647804,6484.82336899086,8712.96111546891,18092.8574358974,27.0643739390548,28.0172381146435,28.9202020290312,27.3242412621661
 06/21  09:00:00,27.0916666666666,872.416666666666,7,112.056690727957,3.01116,115.067850727957,9509.20677503471,5185.03969688123,14694.2464719159,8955.10359809387,11364.3348172299,20319.4384153237,35013.6848872396,25.7075817000156,25.4063810791361,39.1355375110733,25.6254375696425
