Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/02  01:00:00,18.825,0,2,0,0,0,0,0,0,0,0,0,0,24.6906111734588,25.569413699182,16.4891085206691,24.9302802320233
 06/02  02:00:00,18.4666666666666,0,2,0,0,0,0,0,0,0,0,0,0,24.5206261163182,26.6998750028644,15.5532826614161,25.1149559159355
 06/02  03:00:00,17.425,0,2,0,0,0,0,0,0,0,0,0,0,24.2827237090005,26.672746269727,14.5179913894947,24.9345361928185
 06/02  04:00:00,15.9833333333333,0,2,0,0,0,0,0,0,0,0,0,0,24.2549231366928,27.1001788684579,13.222921121185,25.0308878644298
 06/02  05:00:00,14.525,31.8333333333333,2,14.0070863409947,0.376395,14.3834813409947,1385.2557284044,1755.41213982562,3140.66786823002,9715.3683619935,9195.18557800448,18910.553939998,22051.221808228,24.2630050589895,21.218022244446,11.9408357918758,23.4325702990232
 06/02  06:00:00,15.1833333333333,401.333333333333,2,28.0141726819894,0.75279,28.7669626819894,2537.92421392205,1705.32413726923,4243.24835119128,8346.83203960816,4274.28500969839,12621.1170493066,16864.3654004978,24.0802880139514,21.0000533707775,12.1245864611957,23.2402392937003
 06/02  07:00:00,17.4416666666666,699.583333333333,2,112.056690727957,3.01116,115.067850727957,7340.56491913545,4791.29140159624,12131.8563207317,9207.61420298861,6550.26103407404,15757.8752370627,27889.7315577943,23.89122118857,21.5718477332093,17.0428096159325,23.2586762922654
 06/02  08:00:00,19.6833333333333,836.416666666666,2,112.056690727957,3.01116,115.067850727957,6030.94875518686,4482.96535435123,10513.9141095381,8066.13931328721,9162.38204441145,17228.5213576987,27742.4354672367,25.0220963007303,23.1952421327656,25.5309560958687,24.5238724042862
 06/02  09:00:00,22,905.333333333333,2,112.056690727957,3.01116,115.067850727957,5743.15905068696,5281.72989914597,11024.8889498329,6915.99636971584,10537.3674870301,17453.3638567459,28478.2528065789,25.9522713703179,25.0200795926451,35.6735517078282,25.6980418714068
 06/02  10:00:00,24.4,945.833333333333,2,56.0283453639789,1.50558,57.5339253639789,5231.80432846782,3536.67871063894,8768.48303910676,7894.09729397367,12106.7238173798,20000.8211113535,28769.3041504602,25.9999999999998,25.9983013376351,44.4669231665824,25.9995367368686
 06/02  11:00:00,26.8,966.166666666666,2,140.070863409947,3.76395,143.834813409947,10030.9675496123,6927.37668703467,16958.344236647,9730.68314330172,11708.8324986219,21439.5156419236,38397.8598785706,25.9999999999999,25.9999999999215,51.6942916920249,25.9999999999785
 06/02  12:00:00,28.675,976.583333333333,2,224.113381455915,6.02232,230.135701455915,14673.4279920145,9802.38644562392,24475.8144376384,9984.87527616021,9873.76921058334,19858.6444867436,44334.458924382,26,26,56.6455134925002,26
 06/02  13:00:00,30.1166666666666,978.416666666666,2,196.099208773926,5.26953,201.368738773926,14107.908977991,8170.90447478393,22278.8134527749,9679.57647463921,7491.18705993117,17170.7635345704,39449.5769873453,25.9999999999999,26,59.0560678154059,25.9999999999999
 06/02  14:00:00,31.575,922.5,2,112.056690727957,3.01116,115.067850727957,10580.3426298902,4604.3206382913,15184.6632681815,9136.31252625243,6500.17812414223,15636.4906503947,30821.1539185762,26,25.9999999999998,59.2094594612402,25.9999999999999
 06/02  15:00:00,31.9666666666666,682.916666666666,2,56.0283453639789,1.50558,57.5339253639789,8058.07700144776,2688.88605465,10746.9630560978,9109.33840587833,7915.6809163396,17025.0193222179,27771.9823783157,25.9999999999999,25.9999999999999,56.8412355264877,25.9999999999999
 06/02  16:00:00,31.625,568.416666666666,2,70.0354317049736,1.881975,71.9174067049736,9244.47242961695,2927.50050010872,12171.9729297257,9880.19221841507,9379.13723121673,19259.3294496318,31431.3023793575,26,26,53.0331451071006,26
 06/02  17:00:00,31.2666666666666,451.583333333333,2,140.070863409947,3.76395,143.834813409947,12546.6752906043,5638.99464200311,18185.6699326074,10465.9821115669,10259.2268371901,20725.208948757,38910.8788813644,26,25.9999999999999,47.9240062519063,26
 06/02  18:00:00,30.05,487.25,2,224.113381455915,6.02232,230.135701455915,16111.8633101434,8407.78251722115,24519.6458273645,10715.6440059059,10114.5235397357,20830.1675456416,45349.8133730062,25.9999999999999,25.9999999999999,42.2671080779105,25.9999999999999
 06/02  19:00:00,28.1916666666666,183.166666666666,2,224.113381455915,6.02232,230.135701455915,14706.3693911058,8193.8922698684,22900.2616609742,10442.5494000542,10943.5700250586,21386.1194251128,44286.381086087,26,25.9999999999999,34.9567508826281,26
 06/02  20:00:00,26.3499999999999,10.7777777777777,2,224.113381455915,6.02232,230.135701455915,13317.5370037051,7948.04750049359,21265.5845041987,9539.01656978479,9525.88305520734,19064.8996249921,40330.4841291908,25.9999999999999,25.9999999999999,28.6697290215745,25.9999999999999
 06/02  21:00:00,24.3166666666666,0,2,140.070863409947,3.76395,143.834813409947,8426.99771132925,5258.52254922948,13685.5202605587,8780.08345424502,7273.07812398346,16053.1615782285,29738.6818387872,26,25.9999999999999,24.4253924157778,26
 06/02  22:00:00,22.0583333333333,0,2,98.049604386963,2.634765,100.684369386963,4701.80424654468,3947.21882809832,8649.023074643,7629.89418071899,5397.06957861394,13026.9637593329,21675.9868339759,25.9668606003763,25.1668184950502,21.6187198836095,25.7486712659321
 06/02  23:00:00,19.8166666666666,0,2,56.0283453639789,1.50558,57.5339253639789,3142.04161555338,2502.32366652071,5644.36528207409,7767.38451037887,3909.11930242868,11676.5038128076,17320.8690948816,25.2275325208311,22.9194337822765,18.8532941102503,24.5980624913862
 06/02  24:00:00,18.375,0,2,14.0070863409947,0.376395,14.3834813409947,935.879278758025,843.599958010689,1779.47923676871,7511.02104203126,2830.88929362098,10341.9103356522,12121.389572421,24.9394511764084,21.4918532603298,16.3357815242566,23.9992142942084
 06/03  01:00:00,17.4166666666666,0,3,0,0,0,0,0,0,0,0,0,0,24.7231402605429,25.295013723533,14.7867778089602,24.879102914815
 06/03  02:00:00,16.475,0,3,0,0,0,0,0,0,0,0,0,0,24.5227342899409,26.6378595126562,13.4003168968937,25.0995761355615
 06/03  03:00:00,15.4583333333333,0,3,0,0,0,0,0,0,0,0,0,0,24.2650011166023,26.6096452231588,12.2505102021427,24.904437883383
 06/03  04:00:00,14.3583333333333,0,3,0,0,0,0,0,0,0,0,0,0,24.2275915224037,27.0432707951599,11.0954305824611,24.9954900897931
 06/03  05:00:00,13.2583333333333,20.9166666666666,3,14.0070863409947,0.376395,14.3834813409947,1549.40151707616,2165.48475559431,3714.88627267047,9679.65494870292,8980.36855465882,18660.0235033617,22374.9097760322,24.1535686219006,21.1758466678425,10.0417651554573,23.3414773994629
 06/03  06:00:00,14.2,288.416666666666,3,28.0141726819894,0.75279,28.7669626819894,2757.97377172838,1720.55897256642,4478.5327442948,8266.70393388222,4276.21526371161,12542.9191975938,17021.4519418886,23.8591705835714,21.000033304843,10.4370908745344,23.0794200482215
 06/03  07:00:00,16.5999999999999,601.75,3,112.056690727957,3.01116,115.067850727957,7885.0022539827,4681.68734525432,12566.689599237,9799.67724126911,7095.47106973885,16895.148311008,29461.837910245,23.5207418682743,21.2004105957564,15.4219726428934,22.887935753858
 06/03  08:00:00,19,763.166666666666,3,112.056690727957,3.01116,115.067850727957,6406.60503821027,4403.20657050497,10809.8116087152,8525.19748126827,9600.86550090577,18126.062982174,28935.8745908893,24.6719062082685,22.7073476949268,24.496016059342,24.136127264074
 06/03  09:00:00,21.6333333333333,844.333333333333,3,112.056690727957,3.01116,115.067850727957,5667.37100276313,5027.58756991393,10694.9585726771,7009.56085435798,10950.1916391683,17959.7524935263,28654.7110662033,25.8606587937843,24.6987621588231,35.2763114866499,25.5437836546042
